index,filename,poster,title,post
0,11492page120121213022111214818.html,/profiles/PHFM8U9V22D2JPI/,Selling Cubimallzzzzz + Tradez for Funz!,"Hiiiii everyone!

So I decided that I was going to trade/sell my cubimals.

I've not been getting many responses in game or in groups :( So i thought I would post here.

I haveeee:

Magic Rock

FUN TRADES:
TONS OF COMMONS :D: FOR. FUN TRADE. Please trade me the most amusing thing you can think of. It can be... 10 whortleberries... a smoothie... some food! If you are under lvl 5, smaller things like 1 cherry is appropriate too :D
Please send your item in the mail with a message of which common you'd like (chick, butterfly, batterfly)

To trade/sell.

And I neeeed:

Helga
Rube

Have at it~"
1,13144page120121213025200850477.html,/profiles/PCRUKM8BS2N1UGL/,Anyone Else Interested In Trading Street Creator Trophy Pieces,"I have 2 Rock Street Creator Trophy pieces and 2 Wood Street Creator Trophy pieces.

I'm looking to trade them for various Earth Street Creator Trophy Pieces.

Anyone interested?

PS: for those curious, I'm not interested in selling any of my pieces at this time :-) but thanks!"
2,13439page120121213025204633155.html,/profiles/PCR6J7O2CUT16R1/,"Selling cubimals, semi rares and Rube","Rube (not a spare) 300k

Cactus, Juju, @ 7k ea
smuggler @ 12k ea

Sno cone vendor - sold
Dustbunny - sold"
3,13740page120121213031403990531.html,/profiles/PA98K6SSLQD2JJB/,FREE Frog Cubimal,"I've got one extra Frog cubimal. If interested, let me know. I can mail it to you."
4,13897page120121213030319669202.html,/profiles/PHF5EJAB10D2JP8/,I have an emblem of Lem,It's my 2nd one so I'm not really in need of it. Is there anyone needing one that is willing to trade? I'm open to ideas.
5,13907page120121213025724519523.html,/profiles/PA9MTSSU4GD26L3/,16 glitches will win 3 cubimal boxes each in the newest drawing,www.glitch.com/groups/RUV14...
6,13937page120121213021822119742.html,/profiles/PUVND644NMF2MG7/,FREE private herb garden!,"I will let you use my house for 48 hours for FREE, including fireflies, barnacles, an egg tree and a twelve-plot herb garden, if you promise to stop talking about unfair access to herbs on the forums.  That's right, you get a free vacation home for a few days in which you can grow herb and earn badges and sell at ridiculously high prices at auction for TWO WHOLE DAYS without giving up your own home and all I ask in exchange is that you stop talking about the frakkin' herbs in the forums.

I'll even throw in a free ShamWOW with your order!  

[edit] The next available time slots are as follows (all keys are issued/revoked at noon EST):
12/31-1/2
1/2-1/4
1/4-1/6

 Mail me a message in game if you're interested!

Your hair looks great today, and I love you."
7,13942page120121213030950410441.html,/profiles/PHVOJE9NEG22GA4/,"Anyone want to trade me Tii emblems for Alph, Grendaline, Spriggan?","Hello!

I'm five emblems short of my eleventh icon (Tii!) - I have a spare Alph, Grendaline, and Spriggan emblem that I'd love to trade!

Any interest?"
8,13945page120121213030517229201.html,/profiles/PHFIIK6IH1D2BL8/,Looking for a Pickle or GNG,"IM me in game,  cash in hand"
9,14196page120121213030657251330.html,/profiles/PUVHO1HER4H206O/,buying senor pickle,looking to buy senor pickle for 400k. message me ingame or here
10,14248page120121213024147587747.html,/profiles/PHFRP7KB6UC2OC1/,Pickle wanted,500c
11,14273page120121213021912232408.html,/profiles/PA98K6SSLQD2JJB/,Trade JUJU cubimal with another,"I have a Juju for trading. I am looking for any of the following:

Bureaucrat
Gwen
Deimaginator
 Yeti
 Uncle Friendly
 Helga
 Rube"
12,14282page120121213021036662802.html,/profiles/PHFMAGTCLDD2PJK/,Senor Pickle  Pickle Pickle Wanted wiling to pay 600k,"Im Me if any one is interested in selling their senor pickle for 600,000 currants thanks Tinsel"
13,14288page120121213025106032911.html,/profiles/PHV3KDG5F6A2OS6/,Icon of Pot for sale/trade,"I made this icon thinking it would do a lot for me, but all it does is ask for donations. Would you please help me get rid of it? Name your price or interesting trade offers will be accepted."
14,14319page120121213031622574091.html,/profiles/PCRMTRHAH1N1SIV/,wtb Mab & Cosma icons will pay 60k apiece.,Thanks much.
15,14330page120121213025801111460.html,/profiles/PCR45R93AUT1EMH/,"** DOLLS for trade/sale: consolidate all of your trades HERE, in one convenient thread!! **","I would like to suggest that anyone that wants to sell or trade dolls do so in this thread, rather than starting a whole new one for each transaction. It will be easier to sift through the offers that way, so it's good for everyone!"
16,14374page120121213022542379672.html,/profiles/PA9A17MND3E2ADL/,Collectables,"Ok so i am going to list all the ""collectables"" i know, because i am trying to get them all. Please list any if i miss them. If you would like to donate any collectables I dont have, I would be very appreciative!

Game-Completed
Doll Set-Completed
Cubimal Set-Completed
Origional Tree poison-Completed
Origional Tree poison antidote-Completed
CrabPod Headset-Completed
Glitchmas Cracker-Completed
Musicblock BB Set-Completed
Musicblock DB Set-Completed
Musicblock DG Set-Completed
Musicblock DR Set-Completed
Musicblock XS Set-Completed
Musicblock GNG-Completed
Musicblock SB-1-Uncompleted
Icons-Uncompleted
Senor Funpickle-Completed
Street Creator Trophy Piece Sets-Uncompleted
Yeti-Uncompleted
Eggs-Previously had golden egg but Uncompleted now

Let me know if i missed any and feel free to donate to my cause!"
17,14420page120121213030101648355.html,/profiles/PHV3SOHNMB52ELG/,selling 3 Tiis and other emblems,"I'd like 6k each 
Tii-2
Mab -1
Gren -1
Pot -1
Alph -1

updated."
18,14455page120121213032005361308.html,/profiles/PUVKJ887N3J259J/,[Locked],Thank you :)
19,14543page120121213025355956425.html,/profiles/PUVJIU4MIIH2R1K/,Selling Cubimals!,"Here's the list of whats for sale.

Squid  3k each
Cactus 4k each"
